iter	Passed	Remaining
0	1	130
1	2	137
2	4	130
3	4	118
4	5	108
5	6	103
6	7	97
7	8	94
8	9	91
9	9	89
10	10	87
11	11	84
12	12	82
13	13	81
14	13	78
15	14	76
16	15	74
17	15	72
18	16	70
19	17	69
20	17	67
21	18	66
22	19	65
23	20	64
24	21	63
25	21	61
26	22	60
27	23	59
28	24	59
29	24	58
30	25	57
31	26	56
32	27	55
33	27	54
34	28	52
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	33	47
41	33	46
42	33	45
43	34	44
44	35	43
45	36	42
46	37	41
47	37	41
48	38	40
49	39	39
50	39	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	45	30
60	46	29
61	47	29
62	48	28
63	48	27
64	49	26
65	50	25
66	51	25
67	51	24
68	52	23
69	53	22
70	53	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	63	11
85	64	10
86	65	9
87	66	9
88	66	8
89	67	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	74	0
99	74	0
